study,name,label,label_de,description,description_de
soep-base,org/net,Original,Fragebogendaten (netto),"Information from succesfull interviewed respondents, mostly based on a questionnaire",
soep-base,gen,Generated,Generierte Daten,"Generated data, checked for longitudinally consistency",
